Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average
StarCraft: The Board Game,2007,2,6,240,12,7052,7
No Thanks!,2004,3,7,20,8,20354,7
Black Orchestra,2016,1,5,90,14,4263,7
Hammer of the Scots,2002,2,2,180,12,3849,7
Bohnanza,1997,2,7,45,13,38260,7
Tekhenu: Obelisk of the Sun,2020,1,4,120,14,2329,7
Citadels,2016,2,8,60,10,7632,7
Colosseum,2007,3,5,90,10,8444,7
Port Royal,2014,2,5,50,8,12971,7
Chicago Express,2007,2,6,60,12,7408,7
Nexus Ops,2005,2,4,90,12,8487,7
Paperback,2014,2,5,45,8,8942,7
Karuba,2015,2,4,40,8,8690,7
Baseball Highlights: 2045,2015,1,4,45,9,3675,7
Discworld: Ankh-Morpork,2011,2,4,60,11,9247,7
Evolution,2014,2,6,60,12,13614,7
Automobile,2009,3,5,120,12,5375,7
Conan,2016,2,5,90,14,3959,7
1846: The Race for the Midwest,2005,3,5,240,14,2150,7
A Game of Thrones,2003,3,5,180,12,10151,7
Fantasy Realms,2017,3,6,20,14,4396,7
Alhambra,2003,2,6,60,8,28689,7
Pax Porfiriana,2012,1,6,120,12,2994,7
Francis Drake,2013,3,5,120,14,4517,7
Blood Bowl (2016 Edition),2016,2,2,120,12,2231,8
AquaSphere,2014,2,4,100,12,6472,7
DVONN,2001,2,2,30,9,4455,7
Carson City,2009,2,5,90,12,6744,7
Star Wars: Destiny,2016,2,2,30,10,4591,7
Sprawlopolis,2018,1,4,20,8,4117,7
Camel Up,2014,2,8,30,8,22805,7
A Game of Thrones: The Card Game (Second Edition),2015,2,4,120,14,4211,7
Dwellings of Eldervale,2020,1,5,150,14,1591,8
Earth Reborn,2010,2,4,180,13,3241,7
Zombicide,2012,1,6,60,14,16553,7
Blackout: Hong Kong,2018,1,4,150,14,3738,7
Gears of War: The Board Game,2011,1,4,180,14,4696,7
Railroad Ink: Deep Blue Edition,2018,1,6,30,8,6520,7
Love Letter Premium,2016,2,8,30,8,4322,7
Broom Service,2015,2,5,75,10,8094,7
Struggle of Empires,2004,2,7,240,13,3804,7
Wavelength,2019,2,12,45,14,3747,7
Quantum,2013,2,4,60,13,6543,7
Tobago,2009,2,4,60,10,10630,7
Forgotten Waters,2020,3,7,240,14,1807,8
Snowdonia,2012,1,5,90,10,4553,7
Obsession,2018,1,4,90,14,1828,8
Space Empires: 4X,2011,1,4,180,12,3038,7
Carcassonne: Hunters and Gatherers,2002,2,5,35,8,11118,7
Jamaica,2007,2,6,60,8,16269,7
Hadara,2019,2,5,60,10,3767,7
Mare Nostrum: Empires,2016,3,5,120,14,3453,7
Magic Maze,2017,1,8,15,8,15632,7
The Republic of Rome,1990,1,6,300,14,3921,7
Through the Desert,1998,2,5,45,10,12717,7
Thebes,2007,2,4,60,8,9175,7
Triumph & Tragedy: European Balance of Power 1936-1945,2015,2,3,360,12,1800,8
Las Vegas,2012,2,5,30,8,9242,7
Coup,2012,2,6,15,13,36020,7
One Night Ultimate Werewolf Daybreak,2015,3,7,10,8,4874,7
Trains,2012,2,4,45,12,7667,7
Valeria: Card Kingdoms,2016,1,5,45,13,4124,7
Taluva,2006,2,4,45,8,7798,7
Thunderstone Advance: Towers of Ruin,2012,1,5,45,12,4595,7
Summoner Wars,2009,2,4,60,9,6215,7
Sidereal Confluence: Remastered Edition,2017,4,9,180,14,2350,7
Shadows of Brimstone: Swamps of Death,2014,1,4,180,12,2193,8
Shakespeare,2015,1,4,90,13,3831,7
Belfort,2011,2,5,120,12,5954,7
Dixit: Journey,2012,3,6,30,8,4197,7
The Battle of Five Armies,2014,2,2,240,13,2271,7
Formula D,2008,2,10,60,8,17148,7
Betrayal at House on the Hill,2004,3,6,60,12,37065,7
Pax Renaissance,2016,2,4,120,12,1902,8
Time's Up!,1999,4,18,90,12,5043,7
Dice Throne: Season One,2018,2,6,40,8,3802,7
Unmatched: Battle of Legends,,,,,,,
Smash Up: Awesome Level 9000,2013,2,2,45,12,6499,7
Luna,2010,1,4,100,12,4487,7
Defenders of the Realm,2010,1,4,90,13,5217,7
Cuba Libre,2013,1,4,180,14,2542,7
Mr. Jack,2006,2,2,30,9,15349,7
Zombicide: Green Horde,2018,1,6,60,14,2889,7
ZhanGuo,2014,2,4,120,12,2863,7
Torres,1999,2,4,60,12,8734,7
Myrmes,2012,2,4,120,13,5058,7
Cuba,2007,2,5,120,10,7899,7
Lord of the Rings: The Confrontation,2002,2,2,30,12,6541,7
Oceans,2020,2,4,90,12,2782,7
Wallenstein,2002,3,5,150,12,3502,7
Warhammer Quest: The Adventure Card Game,2015,1,4,60,14,4910,7
